Model,ROC_AUC,KS,Gini,LogLoss,Accuracy,Precision,Recall,F1
LightGBM,0.98658,0.87803,0.97316,0.14494,0.94615,0.89781,0.89432,0.89606
LightGBM+GRU,0.98578,0.87392,0.97156,0.44196,0.7594,0.51897,0.99852,0.68297
LightGBM+LSTM,0.98573,0.87344,0.97146,0.44202,0.75949,0.51905,0.99853,0.68305
XGBoost,0.97973,0.85025,0.95946,0.16618,0.93379,0.87481,0.86928,0.87204
XGBoost+GRU,0.97921,0.84813,0.95842,0.44855,0.75809,0.51765,0.99612,0.68127
XGBoost+LSTM,0.97915,0.84756,0.9583,0.44861,0.75819,0.51775,0.99606,0.68135
Transformer,0.95944,0.7895,0.91887,0.2702,0.88062,0.70663,0.92341,0.8006
LogisticRegression,0.95923,0.78808,0.91846,0.2253,0.90095,0.8223,0.78884,0.80523
GRU,0.95199,0.7595,0.90398,0.28826,0.84969,0.64402,0.94099,0.76469
LSTM,0.95056,0.75638,0.90113,0.28751,0.84929,0.64402,0.93752,0.76354
