Model,ROC_AUC,KS,Gini,LogLoss,Accuracy,Precision,Recall,F1
XGBoost+GRU,0.96159,0.7929,0.92318,0.47095,0.75226,0.50878,0.99049,0.67225
XGBoost+LSTM,0.96157,0.79361,0.92313,0.47095,0.7525,0.50903,0.99044,0.67245
XGBoost,0.96153,0.79286,0.92306,0.21688,0.90379,0.813,0.81162,0.81231
LightGBM+GRU,0.96142,0.79423,0.92284,0.47122,0.75221,0.50872,0.99066,0.67224
LightGBM+LSTM,0.96139,0.79403,0.92279,0.47123,0.75222,0.50874,0.99061,0.67224
LightGBM,0.96135,0.79386,0.9227,0.21753,0.9038,0.81163,0.81387,0.81275
LogisticRegression,0.9579,0.78412,0.91581,0.22805,0.89924,0.81505,0.78541,0.79996
Transformer,0.95763,0.78157,0.91526,0.27611,0.87708,0.69785,0.91845,0.7931
GRU,0.94604,0.74673,0.89208,0.30298,0.8449,0.63477,0.93106,0.75489
LSTM,0.9458,0.74424,0.8916,0.29895,0.84426,0.63413,0.92868,0.75365
