decile,n,n_bad,default_rate,avg_pred_pd
1,36714,35079,0.9554665795064553,0.9857695616752084
2,36713,27875,0.7592678342821344,0.9012075111034945
3,36713,17390,0.4736741753602266,0.707612188197233
4,36713,10893,0.29670688856808214,0.5601427591426941
5,36713,3114,0.08482009097594857,0.2370524233567784
6,36713,613,0.01669708277721788,0.05300297399014425
7,36713,184,0.005011848663960995,0.01504346871563332
8,36713,88,0.0023969711001552586,0.005323238715187638
9,36713,40,0.0010895323182523902,0.001988101359541379
10,36713,9,0.0002451447716067878,0.0007657725813262613
