decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8679,0.9455278352761739,0.9859849154747887
2,9178,6727,0.7329483547613859,0.9000619141708456
3,9178,4251,0.4631728045325779,0.7038888919844454
4,9178,2709,0.29516234473741554,0.5540533908106035
5,9178,838,0.09130529527130093,0.23024354405631348
6,9178,230,0.025059925909784266,0.05208046273035106
7,9178,61,0.0066463281760732185,0.014979025468759533
8,9178,21,0.002288080191762911,0.0053447765348366314
9,9178,20,0.0021791239921551534,0.001968879351989255
10,9179,7,0.0007626103061335657,0.000755901688073103
