decile,n,n_bad,default_rate,avg_pred_pd
1,36714,34947,0.9518712207877104,0.9793753454519226
2,36713,27743,0.7556723776319015,0.8955534558952369
3,36713,17330,0.47203987688284804,0.7135157329779062
4,36713,11056,0.3011467327649606,0.556430617971759
5,36713,3214,0.08754392177157955,0.21644192976552437
6,36713,645,0.01756870863181979,0.0433390472998331
7,36713,209,0.0056928063628687384,0.012952873962178042
8,36713,89,0.002424209408111568,0.005125821751422882
9,36713,42,0.0011440089341650096,0.002271428420312148
10,36713,10,0.00027238307956309755,0.0011458919966331135
