decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8679,0.9455278352761739,0.9797034410755545
2,9178,6744,0.7348006101547178,0.8942510049687047
3,9178,4202,0.4578339507517978,0.7095617844105598
4,9178,2730,0.29745042492917845,0.5512432405166207
5,9178,855,0.09315755066463281,0.2113198710251969
6,9178,207,0.02255393331880584,0.04260412822129466
7,9178,69,0.00751797777293528,0.01293312382974026
8,9178,30,0.0032686859882327304,0.005167145054171657
9,9178,19,0.002070167792547396,0.0022525765601557547
10,9179,8,0.000871554635581218,0.001134132165100573
