decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36614,0.9972762433948902,0.9488758217301755
2,36713,34168,0.9306785062511916,0.8493094907699736
3,36713,19431,0.5292675618990549,0.7500846080652939
4,36713,4310,0.11739710729169504,0.649699696886891
5,36713,621,0.01691498924086836,0.5493116270196946
6,36713,120,0.0032685969547571704,0.4494011571773177
7,36713,16,0.00043581292730095607,0.3497599063133794
8,36713,3,8.171492386892926e-05,0.25024124038302387
9,36713,2,5.447661591261951e-05,0.1511766905634607
10,36713,0,0.0,0.05214115362690118
