decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8846,0.9637215382939318,0.9489238939048361
2,9178,7275,0.7926563521464371,0.8494677592869199
3,9178,4695,0.5115493571584223,0.7500658491907922
4,9178,2000,0.21791239921551536,0.6495174602102125
5,9178,509,0.05545870560034866,0.5493255805100891
6,9178,140,0.015253867945086076,0.44938074188618443
7,9178,45,0.0049030289823490955,0.34973067491056564
8,9178,15,0.0016343429941163652,0.2504008112734127
9,9178,12,0.0013074743952930922,0.15116490784588582
10,9179,6,0.0006536659766859135,0.05207669006107916
