decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36613,0.9972490058288391,0.9488541358776378
2,36713,34161,0.9304878380954975,0.8492585378673122
3,36713,19410,0.5286955574319723,0.7501473513772041
4,36713,4335,0.11807806499060278,0.6497751729583459
5,36713,627,0.017078419088606217,0.5492649250190849
6,36713,118,0.003214120338844551,0.4492710474321858
7,36713,16,0.00043581292730095607,0.34964533850574614
8,36713,3,8.171492386892926e-05,0.2501962488460057
9,36713,1,2.7238307956309754e-05,0.15124435863305977
10,36713,1,2.7238307956309754e-05,0.05234427661021543
