decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8847,0.9638304826233794,0.9489077579904859
2,9178,7269,0.7920026149487905,0.8494552860742115
3,9178,4695,0.5115493571584223,0.7501597415565403
4,9178,2006,0.21856613641316192,0.6495485370986636
5,9178,507,0.05524079320113314,0.5492559315279268
6,9178,141,0.015362824144693834,0.4492286120210026
7,9178,45,0.0049030289823490955,0.3496234294094766
8,9178,13,0.00141643059490085,0.2503343551381112
9,9178,14,0.0015253867945086074,0.15128270645328926
10,9179,6,0.0006536659766859135,0.05225799381420977
