decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36626,0.9976030941875034,0.9671851868924645
2,36713,34356,0.9357993081469779,0.8251530766796913
3,36713,19536,0.5321275842344674,0.5309168987816403
4,36713,4037,0.10996104921962248,0.19810200399230887
5,36713,610,0.01661536785334895,0.04936537779853508
6,36713,102,0.002778307411543595,0.01388007039787551
7,36713,14,0.0003813363113883366,0.005391817264643027
8,36713,2,5.447661591261951e-05,0.002556444642617692
9,36713,2,5.447661591261951e-05,0.0013311708243579534
10,36713,0,0.0,0.0006310340745757191
