decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8845,0.9636125939644842,0.965564822255574
2,9178,7277,0.7928742645456527,0.8117548166944297
3,9178,4691,0.5111135323599912,0.5234951550991597
4,9178,2005,0.21845718021355415,0.20375597007037835
5,9178,509,0.05545870560034866,0.05028652470342034
6,9178,138,0.01503595554587056,0.013817623274549539
7,9178,45,0.0049030289823490955,0.0054004362055923944
8,9178,14,0.0015253867945086074,0.0025701696971326712
9,9178,14,0.0015253867945086074,0.0013424824675314724
10,9179,5,0.0005447216472382612,0.0006284952626255673
