decile,n,n_bad,default_rate,avg_pred_pd
1,36714,35280,0.9609413302827259,0.9736082971196695
2,36713,29009,0.7901560755045897,0.7990941393590677
3,36713,19191,0.5227303679895405,0.4972775213415723
4,36713,8462,0.23049056192629314,0.2116107406524449
5,36713,2335,0.06360144907798328,0.06817753228259205
6,36713,596,0.016234031541960615,0.024238614631615883
7,36713,232,0.006319287445863863,0.011009416244446141
8,36713,92,0.0025059243319804974,0.0056031787788122876
9,36713,49,0.0013346770898591779,0.0028029503388875185
10,36713,39,0.0010622940102960805,0.0009646521235047434
