decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8783,0.9568580455387297,0.974136085107132
2,9178,7191,0.7835040313793855,0.7990608760917802
3,9178,4622,0.503595554587056,0.49111884971684844
4,9178,2091,0.22782741337982132,0.20840706335050682
5,9178,585,0.06373937677053824,0.0673490290080093
6,9178,173,0.018849422532142078,0.023953488904018404
7,9178,43,0.00468511658313358,0.010969997936125872
8,9178,32,0.003486598387448246,0.005588960751755568
9,9178,16,0.001743299193724123,0.0028048913196825373
10,9179,7,0.0007626103061335657,0.0009518608506693607
