decile,n,n_bad,default_rate,avg_pred_pd
1,36714,35250,0.960124203301193,0.9889699718271874
2,36713,28985,0.7895023561136382,0.9296552584850125
3,36713,19263,0.5246915261623948,0.7686321219440586
4,36713,8518,0.23201590717184647,0.4642035699316375
5,36713,2314,0.06302944461090076,0.16527667547657635
6,36713,595,0.016206793234004303,0.04821288808761186
7,36713,206,0.005611091438999809,0.016617860850964995
8,36713,90,0.002451447716067878,0.007526691298108098
9,36713,50,0.0013619153978154878,0.0039732010786710055
10,36713,14,0.0003813363113883366,0.0023432849967983944
