decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8781,0.9566401568798344,0.9892542497994061
2,9178,7183,0.7826323817825235,0.9294388771225981
3,9178,4628,0.5042492917847026,0.7637560381222249
4,9178,2070,0.2255393331880584,0.45668375398253375
5,9178,614,0.06689910655916322,0.16190028234043394
6,9178,179,0.019503159729788624,0.0478721022281993
7,9178,49,0.0053388537807801265,0.01663894240339939
8,9178,20,0.0021791239921551534,0.007534976766133625
9,9178,11,0.0011985181956853345,0.003938953071551779
10,9179,8,0.000871554635581218,0.002325025008222682
