decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36499,0.994143923299014,0.9488675617639789
2,36713,32717,0.8911557214065863,0.8494118129427086
3,36713,19165,0.5220221719826764,0.7501676365478483
4,36713,5426,0.14779505897093673,0.6495798420106959
5,36713,1110,0.030234521831503828,0.5492342051595295
6,36713,256,0.006973006836815297,0.4492931939588027
7,36713,77,0.002097349712635851,0.3495771877667507
8,36713,23,0.0006264810829951244,0.25008508292965614
9,36713,10,0.00027238307956309755,0.1512681618542247
10,36713,2,5.447661591261951e-05,0.052516707826903826
