decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8862,0.9654646475650942,0.948909831959016
2,9178,7276,0.7927653083460449,0.8494679220409999
3,9178,4679,0.5098060579646982,0.750079758105793
4,9178,1979,0.21562431902375245,0.6495202170874462
5,9178,523,0.056984092394857265,0.5493030247949039
6,9178,142,0.01547178034430159,0.4492782827024266
7,9178,50,0.005447809980387884,0.34959336145386694
8,9178,17,0.0018522553933318807,0.2501644611577571
9,9178,13,0.00141643059490085,0.1513026055434804
10,9179,2,0.0002178886588953045,0.05243486674085403
