decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8862,0.9654646475650942,0.9488930573846183
2,9178,7278,0.7929832207452604,0.8494501509218227
3,9178,4676,0.5094791893658749,0.7501763573413669
4,9178,1986,0.21638701242100675,0.6495618147035279
5,9178,518,0.05643931139681848,0.5492149875101497
6,9178,139,0.015144911745478318,0.4491316790861444
7,9178,52,0.0056657223796034,0.34947194222110023
8,9178,16,0.001743299193724123,0.2500868551808593
9,9178,14,0.0015253867945086074,0.1513629421075689
10,9179,2,0.0002178886588953045,0.05270451757694887
