decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36514,0.9945524867897805,0.9685160987626664
2,36713,32830,0.8942336502056493,0.8144262990685799
3,36713,19186,0.5225941764497589,0.5256260493974959
4,36713,5312,0.14468989186391742,0.20868967230200713
5,36713,1085,0.029553564132596084,0.05331205665434881
6,36713,253,0.006891291912946368,0.014789598782441567
7,36713,71,0.0019339198648979925,0.005636637242008585
8,36713,22,0.0005992427750388146,0.0025859741982501
9,36713,11,0.0002996213875194073,0.001283325444849505
10,36713,1,2.7238307956309754e-05,0.0005435599482126815
