decile,n,n_bad,default_rate,avg_pred_pd
1,9179,8860,0.9652467589061989,0.9675366257852375
2,9178,7278,0.7929832207452604,0.8064698909110404
3,9178,4671,0.5089344083678361,0.5201967873489397
4,9178,1998,0.21769448681629985,0.2115766868388167
5,9178,510,0.05556766179995642,0.05345294664304003
6,9178,142,0.01547178034430159,0.014652119021384602
7,9178,52,0.0056657223796034,0.005601227365772685
8,9178,15,0.0016343429941163652,0.0025889552926421848
9,9178,15,0.0016343429941163652,0.0012878977686412735
10,9179,2,0.0002178886588953045,0.0005443250787425033
