,gain
D_42_first,377
P_2_last,351
S_3_mean,281
D_39_last,263
D_43_last,247
B_37_last,245
D_39_max,231
D_43_mean,229
B_3_last,217
B_4_last,213
D_121_first,203
D_47_last,199
S_3_last,197
B_4_max,192
D_44_last_minus_mean,190
D_48_last_minus_mean,189
S_15_mean,186
D_79_last_minus_mean,178
B_4_last_minus_mean,176
P_2_max,172
D_39_last_minus_mean,169
B_4_std,164
P_3_mean,161
S_24_last_minus_mean,161
D_46_last_minus_mean,161
D_46_first,159
D_47_first,155
S_11_mean,152
R_3_mean,152
B_37_last_minus_mean,150
P_3_std,150
D_41_last_minus_mean,149
S_12_mean,148
D_43_std,146
R_1_mean,144
B_4_last_minus_first,143
D_48_last,142
D_39_last_minus_first,141
B_9_last_minus_mean,139
D_46_last,138
B_9_last,136
S_23_std,134
P_2_first,133
D_65_mean,132
B_23_last,132
P_3_max,132
R_11_mean,131
B_5_last,131
S_9_mean,129
D_39_mean,128
B_3_std,128
D_50_mean,127
P_2_last_minus_mean,126
B_23_std,125
D_46_mean,125
B_3_last_minus_mean,125
B_2_mean,124
D_51_mean,122
S_26_std,122
S_11_max,122
S_7_last_minus_mean,122
D_45_first,121
S_7_last,121
S_8_mean,119
D_59_std,118
D_44_std,117
B_14_last_minus_mean,117
D_124_first,117
P_2_std,116
D_79_mean,115
R_11_last_minus_mean,114
D_46_std,114
D_79_std,114
D_48_mean,114
D_48_last_minus_first,113
B_3_last_minus_first,112
S_12_last_minus_mean,112
D_78_last_minus_mean,111
D_80_last_minus_mean,110
D_65_max,109
D_75_std,109
S_3_std,109
D_41_last_minus_first,108
B_36_mean,108
D_70_std,107
S_3_max,107
D_48_std,106
S_7_mean,106
B_15_last_minus_mean,105
D_70_mean,105
D_43_last_minus_first,104
B_17_std,104
D_62_std,104
D_50_max,104
P_3_first,103
P_3_last,102
D_131_mean,102
B_5_last_minus_mean,101
B_17_mean,101
B_40_max,101
D_62_mean,100
D_55_last_minus_mean,100
S_27_std,100
D_59_last_minus_mean,100
D_107_last_minus_mean,99
D_52_mean,97
D_43_max,97
D_43_first,97
D_59_last,96
D_43_last_minus_mean,96
S_23_last_minus_mean,95
R_3_last,95
D_52_last_minus_mean,95
D_144_last_minus_mean,95
D_44_last_minus_first,94
D_112_last_minus_mean,94
B_22_mean,94
D_61_std,93
D_122_mean,93
R_3_last_minus_mean,93
P_3_last_minus_first,93
R_10_last_minus_mean,93
B_37_std,93
S_13_last_minus_mean,93
D_61_max,92
S_15_std,92
D_60_mean,92
D_119_first,91
D_105_last,91
D_119_min,91
R_1_last,90
D_115_std,90
B_19_std,90
S_5_last_minus_mean,90
D_61_last_minus_mean,89
S_3_last_minus_mean,89
B_2_last,89
D_62_last_minus_mean,88
R_16_mean,88
D_122_last_minus_mean,88
S_9_std,88
B_9_mean,88
D_48_first,88
B_2_std,87
D_47_std,87
B_40_last_minus_mean,87
P_3_min,87
B_3_mean,87
D_145_last_minus_mean,87
D_105_first,87
S_9_last,86
S_23_last,86
B_23_mean,86
D_61_mean,86
B_9_std,86
B_17_last,86
B_20_last_minus_mean,86
D_113_last_minus_mean,86
B_17_last_minus_mean,86
D_69_last_minus_mean,85
D_65_last_minus_mean,85
B_17_last_minus_first,85
R_3_std,85
S_12_max,85
B_37_mean,85
D_58_std,83
D_142_std,83
B_40_last,83
D_60_last_minus_mean,83
D_46_min,83
S_27_last_minus_first,83
R_27_last_minus_mean,83
D_48_max,83
D_79_last,83
D_140_mean,82
B_5_mean,82
S_9_last_minus_mean,82
S_3_last_minus_first,82
R_8_last_minus_mean,82
B_14_last,82
