,0
P_2_last,0.66209954
P_2_max,0.22100948
B_9_last,0.17945042
B_37_last,0.1746785
D_48_last,0.16216104
B_2_last,0.13890052
D_42_first,0.11395918
D_44_last,0.106981896
B_23_last,0.103980154
R_1_last,0.08650506
S_3_mean,0.08408422
D_39_last,0.08227222
B_3_last,0.08046867
B_5_last,0.07655577
D_45_first,0.0734244
D_121_first,0.0686776
R_1_mean,0.06753008
B_4_last,0.06464579
D_39_max,0.06392002
S_3_last,0.062498614
D_47_last,0.059645727
D_46_last_minus_mean,0.053263634
D_43_last,0.05301278
B_3_std,0.05066842
B_4_max,0.050424896
D_43_mean,0.049507804
D_46_first,0.04846217
B_4_std,0.04686743
B_2_mean,0.044322528
D_51_last,0.044263795
B_4_last_minus_mean,0.043766998
D_50_mean,0.04215751
D_62_mean,0.040704634
D_41_last_minus_first,0.03907996
D_51_mean,0.03750698
B_37_last_minus_mean,0.03674856
P_2_first,0.036079884
R_3_mean,0.03431702
D_47_first,0.033759527
R_1_max,0.033264216
S_26_max,0.032851383
B_3_last_minus_mean,0.032367136
B_4_last_minus_first,0.030655295
D_41_last_minus_mean,0.030391386
D_66_first,0.030375857
S_26_std,0.03025906
S_11_mean,0.02980074
D_46_last,0.029635772
D_48_last_minus_mean,0.029621262
S_23_std,0.029618457
D_50_max,0.029309293
R_27_first,0.028212763
R_2_last,0.028060708
B_3_last_minus_first,0.027849106
D_62_min,0.02747739
D_39_last_minus_mean,0.027273966
D_64_last,0.026708465
D_119_min,0.026387768
D_39_mean,0.02614659
B_3_max,0.025736047
S_15_mean,0.02557939
S_12_mean,0.025438773
D_79_last,0.025213659
S_24_last_minus_mean,0.024972674
S_11_max,0.024845498
D_119_first,0.02467861
D_114_last,0.024263985
B_9_mean,0.024188628
D_44_last_minus_mean,0.023831012
D_76_last,0.023450457
P_3_std,0.023428231
D_41_last,0.023414396
D_39_last_minus_first,0.022914434
S_9_mean,0.022698518
R_3_last,0.02259083
D_79_last_minus_mean,0.022224208
S_23_last,0.02162307
D_65_mean,0.021593563
D_79_std,0.021377787
D_112_last,0.021214293
B_22_last,0.021148145
D_50_last,0.020302033
B_9_last_minus_mean,0.020031566
D_60_last,0.020025488
B_8_min,0.019697541
D_75_std,0.019663274
S_3_min,0.019426174
P_2_last_minus_first,0.018886704
B_40_max,0.018566636
B_22_mean,0.018091112
D_59_std,0.018075844
D_124_first,0.017825777
D_65_max,0.017705364
B_3_mean,0.01746958
D_112_mean,0.017390039
S_12_min,0.017355483
D_43_first,0.017223185
P_3_max,0.01711204
D_59_last,0.017082496
P_2_last_minus_mean,0.016980793
D_50_last_minus_mean,0.016844349
D_129_min,0.016817339
B_17_first,0.016668865
P_3_mean,0.016366119
S_15_max,0.016331129
R_11_last,0.015956668
B_18_last,0.01587976
D_66_last_minus_mean,0.015823755
R_11_mean,0.015732007
S_24_last,0.015728218
S_7_mean,0.015187613
S_8_max,0.015170482
B_17_last,0.015169868
B_14_last,0.01498611
B_5_last_minus_mean,0.014651891
B_23_max,0.014517799
D_44_mean,0.0143401185
D_46_mean,0.014268776
B_19_mean,0.0142386425
B_36_mean,0.014218062
S_24_max,0.01415751
B_14_last_minus_mean,0.014144317
D_131_last,0.014128032
B_37_max,0.01409768
R_5_last,0.014061613
B_10_last,0.01400146
D_120_mean,0.013929573
R_26_last,0.013894908
D_70_std,0.013856027
S_5_max,0.0137713635
D_102_last_minus_mean,0.013742015
D_120_last_minus_mean,0.013605838
B_23_std,0.013494283
